Number,Company,Symbol,YTD Return
179,Fox Corporation (Class B),FOX,13.45
180,CSX Corporation,CSX,13.42
181,Consolidated Edison,ED,13.40
182,AES Corporation,AES,13.29
183,BlackRock,BLK,13.27
184,Nucor,NUE,12.91
185,Axon Enterprise,AXON,12.85
186,Kroger,KR,12.82
187,Citizens Financial Group,CFG,12.68
188,Trane Technologies,TT,12.58
189,Eaton Corporation,ETN,12.48
190,Dominion Energy,D,12.48
191,Realty Income,O,12.23
192,CMS Energy,CMS,12.20
193,Nordson Corporation,NDSN,11.52
194,Boston Scientific,BSX,11.11
195,Hershey Company (The),HSY,10.86
196,PTC Inc.,PTC,10.33
197,Mettler Toledo,MTD,10.26
198,Baker Hughes,BKR,10.14
199,Synchrony Financial,SYF,10.02
200,Coca-Cola Company (The),KO,9.93
201,D. R. Horton,DHI,9.92
202,Pinnacle West,PNW,9.89
203,Franklin Resources,BEN,9.81
204,Teradyne,TER,9.72
205,General Motors,GM,9.59
206,Trimble Inc.,TRMB,9.54
207,Republic Services,RSG,9.27
208,Solventum,SOLV,9.23
209,"Tesla, Inc.",TSLA,8.78
210,Travelers Companies (The),TRV,8.77
211,Berkshire Hathaway,BRK.B,8.63
212,Cadence Design Systems,CDNS,8.54
213,Humana,HUM,8.40
214,Cigna,CI,8.38
215,Yum! Brands,YUM,8.27
216,Expeditors International,EXPD,8.26
217,Deere & Company,DE,8.21
218,Visa Inc.,V,8.18
219,Freeport-McMoRan,FCX,8.14
220,Pentair,PNR,8.10
221,Corteva,CTVA,7.79
222,Albemarle Corporation,ALB,7.74
223,Linde plc,LIN,7.70
224,Hewlett Packard Enterprise,HPE,7.54
225,Crown Castle,CCI,7.40
226,Datadog,DDOG,6.98
227,Mohawk Industries,MHK,6.91
228,Waste Management,WM,6.78
229,Mastercard,MA,6.53
230,Cincinnati Financial,CINF,6.49
231,Qualcomm,QCOM,6.40
232,Textron,TXT,6.37
233,McDonald's,MCD,6.28
234,American International Group,AIG,6.26
235,Chevron Corporation,CVX,5.69
236,Vici Properties,VICI,5.65
237,Agilent Technologies,A,5.64
238,Willis Towers Watson,WTW,5.40
239,Hilton Worldwide,HLT,5.30
240,Intuit,INTU,5.23
241,Mondelez International,MDLZ,4.57
242,Sysco,SYY,4.51
243,DuPont,DD,4.35
244,ExxonMobil,XOM,4.34
245,Emerson Electric,EMR,4.32
246,American Tower,AMT,4.30
247,Aflac,AFL,4.13
248,IQVIA,IQV,4.09
249,Sempra,SRE,4.07
250,Tractor Supply,TSCO,4.03
251,Lilly (Eli),LLY,3.99
252,Stryker Corporation,SYK,3.99
253,Raymond James Financial,RJF,3.97
254,T-Mobile US,TMUS,3.90
255,Thermo Fisher Scientific,TMO,3.59
256,Vertex Pharmaceuticals,VRTX,3.50
257,Simon Property Group,SPG,3.41
258,CoStar Group,CSGP,3.35
259,Ross Stores,ROST,3.33
260,NXP Semiconductors,NXPI,3.13
261,Intercontinental Exchange,ICE,3.08
262,Cintas,CTAS,2.96
263,Ametek,AME,2.89
264,Autodesk,ADSK,2.74
265,Public Storage,PSA,2.73
266,Kellanova,K,2.62
267,NetApp,NTAP,2.58
268,Wabtec,WAB,2.41
269,A. O. Smith,AOS,2.20
270,Costco,COST,2.19
271,United Airlines Holdings,UAL,2.10
272,Booking Holdings,BKNG,2.04
273,Lockheed Martin,LMT,1.90
274,Hubbell Incorporated,HUBB,1.63
275,Allstate,ALL,1.60
276,Principal Financial Group,PFG,1.58
277,Verizon,VZ,1.40
278,Extra Space Storage,EXR,1.30
279,Broadridge Financial Solutions,BR,1.28
280,Expand Energy,EXE,1.24
281,PepsiCo,PEP,1.09
282,Keysight Technologies,KEYS,0.97
283,Veralto,VLTO,0.89
284,Edwards Lifesciences,EW,0.82
285,Darden Restaurants,DRI,0.80
